column,datatype,NULLs,Primary Key,Foreign Key
c_customer_sk,identifier,N,Y,
c_customer_id,char(16),N,,
c_current_cdemo_sk,identifier,,,cd_demo_sk
c_current_hdemo_sk,identifier,,,hd_demo_sk
c_current_addr_sk,identifier,,,ca_address_sk
c_first_shipto_date_sk,identifier,,,d_date_sk
c_first_sales_date_sk,identifier,,,d_date_sk
c_salutation,char(10),,,
c_first_name,char(20),,,
c_last_name,char(30),,,
c_preferred_cust_flag,char(1),,,
c_birth_day,integer,,,
c_birth_month,integer,,,
c_birth_year,integer,,,
c_birth_country,varchar(20),,,
c_login,char(13),,,
c_email_address,char(50),,,
c_last_review_date_sk,identifier,,,d_date_sk
