column,datatype,NULLs,Primary Key,Foreign Key
cs_sold_date_sk,identifier,,,d_date_sk
cs_sold_time_sk,identifier,,,t_time_sk
cs_ship_date_sk,identifier,,,d_date_sk
cs_bill_customer_sk,identifier,,,c_customer_sk
cs_bill_cdemo_sk,identifier,,,cd_demo_sk
cs_bill_hdemo_sk,identifier,,,hd_demo_sk
cs_bill_addr_sk,identifier,,,ca_address_sk
cs_ship_customer_sk,identifier,,,c_customer_sk
cs_ship_cdemo_sk,identifier,,,cd_demo_sk
cs_ship_hdemo_sk,identifier,,,hd_demo_sk
cs_ship_addr_sk,identifier,,,ca_address_sk
cs_call_center_sk,identifier,,,cc_call_center_sk
cs_catalog_page_sk,identifier,,,cp_catalog_page_sk
cs_ship_mode_sk,identifier,,,sm_ship_mode_sk
cs_warehouse_sk,identifier,,,w_warehouse_sk
cs_item_sk,identifier,N,Y,i_item_sk
cs_promo_sk,identifier,,,p_promo_sk
cs_order_number,identifier,N,Y,
cs_quantity,integer,,,
cs_wholesale_cost,"decimal(7,2)",,,
cs_list_price,"decimal(7,2)",,,
cs_sales_price,"decimal(7,2)",,,
cs_ext_discount_amt,"decimal(7,2)",,,
cs_ext_sales_price,"decimal(7,2)",,,
cs_ext_wholesale_cost,"decimal(7,2)",,,
cs_ext_list_price,"decimal(7,2)",,,
cs_ext_tax,"decimal(7,2)",,,
cs_coupon_amt,"decimal(7,2)",,,
cs_ext_ship_cost,"decimal(7,2)",,,
cs_net_paid,"decimal(7,2)",,,
cs_net_paid_inc_tax,"decimal(7,2)",,,
cs_net_paid_inc_ship,"decimal(7,2)",,,
cs_net_paid_inc_ship_tax,"decimal(7,2)",,,
cs_net_profit,"decimal(7,2)",,,
