column,datatype,NULLs,Primary Key,Foreign Key
d_date_sk,identifier,N,Y,
d_date_id (B),char(16),N,,
d_date,date,N,,
d_month_seq,integer,,,
d_week_seq,integer,,,
d_quarter_seq,integer,,,
d_year,integer,,,
d_dow,integer,,,
d_moy,integer,,,
d_dom,integer,,,
d_qoy,integer,,,
d_fy_year,integer,,,
d_fy_quarter_seq,integer,,,
d_fy_week_seq,integer,,,
d_day_name,char(9),,,
d_quarter_name,char(6),,,
d_holiday,char(1),,,
d_weekend,char(1),,,
d_following_holiday,char(1),,,
d_first_dom,integer,,,
d_last_dom,integer,,,
d_same_day_ly,integer,,,
d_same_day_lq,integer,,,
d_current_day,char(1),,,
d_current_week,char(1),,,
d_current_month,char(1),,,
d_current_quarter,char(1),,,
d_current_year,char(1),,,
