column,datatype,NULLs,Primary Key,Foreign Key
ss_sold_date_sk,identifier,,,d_date_sk
ss_sold_time_sk,identifier,,,t_time_sk
ss_item_sk,identifier,N,Y,i_item_sk
ss_customer_sk,identifier,,,c_customer_sk
ss_cdemo_sk,identifier,,,cd_demo_sk
ss_hdemo_sk,identifier,,,hd_demo_sk
ss_addr_sk,identifier,,,ca_address_sk
ss_store_sk,identifier,,,s_store_sk
ss_promo_sk,identifier,,,p_promo_sk
ss_ticket_number,identifier,N,Y,
ss_quantity,integer,,,
ss_wholesale_cost,"decimal(7,2)",,,
ss_list_price,"decimal(7,2)",,,
ss_sales_price,"decimal(7,2)",,,
ss_ext_discount_amt,"decimal(7,2)",,,
ss_ext_sales_price,"decimal(7,2)",,,
ss_ext_wholesale_cost,"decimal(7,2)",,,
ss_ext_list_price,"decimal(7,2)",,,
ss_ext_tax,"decimal(7,2)",,,
ss_coupon_amt,"decimal(7,2)",,,
ss_net_paid,"decimal(7,2)",,,
ss_net_paid_inc_tax,"decimal(7,2)",,,
ss_net_profit,"decimal(7,2)",,,
