column,datatype,NULLs,Primary Key,Foreign Key
p_promo_sk,identifier,N,Y,
p_promo_id (B),char(16),N,,
p_start_date_sk,identifier,,,d_date_sk
p_end_date_sk,identifier,,,d_date_sk
p_item_sk,identifier,,,i_item_sk
p_cost,"decimal(15,2)",,,
p_response_target,integer,,,
p_promo_name,char(50),,,
p_channel_dmail,char(1),,,
p_channel_email,char(1),,,
p_channel_catalog,char(1),,,
p_channel_tv,char(1),,,
p_channel_radio,char(1),,,
p_channel_press,char(1),,,
p_channel_event,char(1),,,
p_channel_demo,char(1),,,
p_channel_details,varchar(100),,,
p_purpose,char(15),,,
p_discount_active,char(1),,,
