column,datatype,NULLs,Primary Key,Foreign Key
wr_returned_date_sk,identifier,,,d_date_sk
wr_returned_time_sk,identifier,,,t_time_sk
wr_item_sk,identifier,N,Y,"i_item_sk, ws_item_sk"
wr_refunded_customer_sk,identifier,,,c_customer_sk
wr_refunded_cdemo_sk,identifier,,,cd_demo_sk
wr_refunded_hdemo_sk,identifier,,,hd_demo_sk
wr_refunded_addr_sk,identifier,,,ca_address_sk
wr_returning_customer_sk,identifier,,,c_customer_sk
wr_returning_cdemo_sk,identifier,,,cd_demo_sk
wr_returning_hdemo_sk,identifier,,,hd_demo_sk
wr_returning_addr_sk,identifier,,,ca_address_sk
wr_web_page_sk,identifier,,,wp_web_page_sk
wr_reason_sk,identifier,,,r_reason_sk
wr_order_number,identifier,N,Y,ws_order_number
wr_return_quantity,integer,,,
wr_return_amt,"decimal(7,2)",,,
wr_return_tax,"decimal(7,2)",,,
wr_return_amt_inc_tax,"decimal(7,2)",,,
wr_fee,"decimal(7,2)",,,
wr_return_ship_cost,"decimal(7,2)",,,
wr_refunded_cash,"decimal(7,2)",,,
wr_reversed_charge,"decimal(7,2)",,,
wr_account_credit,"decimal(7,2)",,,
wr_net_loss,"decimal(7,2)",,,
