column,datatype,NULLs,Primary Key,Foreign Key
cr_returned_date_sk,identifier,,,d_date_sk
cr_returned_time_sk,identifier,,,t_time_sk
cr_item_sk,identifier,N,Y,"i_item_sk, cs_item_sk"
cr_refunded_customer_sk,identifier,,,c_customer_sk
cr_refunded_cdemo_sk,identifier,,,cd_demo_sk
cr_refunded_hdemo_sk,identifier,,,hd_demo_sk
cr_refunded_addr_sk,identifier,,,ca_address_sk
cr_returning_customer_sk,identifier,,,c_customer_sk
cr_returning_cdemo_sk,identifier,,,cd_demo_sk
cr_returning_hdemo_sk,identifier,,,hd_demo_sk
cr_returning_addr_sk,identifier,,,ca_address_sk
cr_call_center_sk,identifier,,,cc_call_center_sk
cr_catalog_page_sk,identifier,,,cp_catalog_page_sk
cr_ship_mode_sk,identifier,,,sm_ship_mode_sk
cr_warehouse_sk,identifier,,,w_warehouse_sk
cr_reason_sk,identifier,,,r_reason_sk
cr_order_number,identifier,N,Y,cs_order_number
cr_return_quantity,integer,,,
cr_return_amount,"decimal(7,2)",,,
cr_return_tax,"decimal(7,2)",,,
cr_return_amt_inc_tax,"decimal(7,2)",,,
cr_fee,"decimal(7,2)",,,
cr_return_ship_cost,"decimal(7,2)",,,
cr_refunded_cash,"decimal(7,2)",,,
cr_reversed_charge,"decimal(7,2)",,,
cr_store_credit,"decimal(7,2)",,,
cr_net_loss,"decimal(7,2)",,,
